"PassengerId","Survived","Pclass","Sex","Age","SibSp","Parch","Ticket","Fare","Cabin","Embarked","Family_name","first_name"
44,1,2,"female",3,1,2,"SC/Paris 2123",41.5792,"","C","Braund","Mr. Owen Harris"
45,1,3,"female",19,0,0,"330958",7.8792,"","Q","Braund","Mr. Owen Harris"
46,0,3,"male",NA,0,0,"S.C./A.4. 23567",8.05,"","S","Braund","Mr. Owen Harris"
47,0,3,"male",NA,1,0,"370371",15.5,"","Q","Braund","Mr. Owen Harris"
48,1,3,"female",NA,0,0,"14311",7.75,"","Q","Braund","Mr. Owen Harris"
49,0,3,"male",NA,2,0,"2662",21.6792,"","C","Braund","Mr. Owen Harris"
50,0,3,"female",18,1,0,"349237",17.8,"","S","Braund","Mr. Owen Harris"
51,0,3,"male",7,4,1,"3101295",39.6875,"","S","Braund","Mr. Owen Harris"
52,0,3,"male",21,0,0,"A/4. 39886",7.8,"","S","Braund","Mr. Owen Harris"
53,1,1,"female",49,1,0,"PC 17572",76.7292,"D33","C","Braund","Mr. Owen Harris"
54,1,2,"female",29,1,0,"2926",26,"","S","Braund","Mr. Owen Harris"
55,0,1,"male",65,0,1,"113509",61.9792,"B30","C","Braund","Mr. Owen Harris"
56,1,1,"male",NA,0,0,"19947",35.5,"C52","S","Braund","Mr. Owen Harris"
57,1,2,"female",21,0,0,"C.A. 31026",10.5,"","S","Braund","Mr. Owen Harris"
58,0,3,"male",28.5,0,0,"2697",7.2292,"","C","Braund","Mr. Owen Harris"
59,1,2,"female",5,1,2,"C.A. 34651",27.75,"","S","Braund","Mr. Owen Harris"
60,0,3,"male",11,5,2,"CA 2144",46.9,"","S","Braund","Mr. Owen Harris"
61,0,3,"male",22,0,0,"2669",7.2292,"","C","Braund","Mr. Owen Harris"
62,1,1,"female",38,0,0,"113572",80,"B28","","Braund","Mr. Owen Harris"
63,0,1,"male",45,1,0,"36973",83.475,"C83","S","Braund","Mr. Owen Harris"
64,0,3,"male",4,3,2,"347088",27.9,"","S","Braund","Mr. Owen Harris"
65,0,1,"male",NA,0,0,"PC 17605",27.7208,"","C","Braund","Mr. Owen Harris"
66,1,3,"male",NA,1,1,"2661",15.2458,"","C","Braund","Mr. Owen Harris"
67,1,2,"female",29,0,0,"C.A. 29395",10.5,"F33","S","Braund","Mr. Owen Harris"
68,0,3,"male",19,0,0,"S.P. 3464",8.1583,"","S","Braund","Mr. Owen Harris"
69,1,3,"female",17,4,2,"3101281",7.925,"","S","Braund","Mr. Owen Harris"
70,0,3,"male",26,2,0,"315151",8.6625,"","S","Braund","Mr. Owen Harris"
71,0,2,"male",32,0,0,"C.A. 33111",10.5,"","S","Braund","Mr. Owen Harris"
72,0,3,"female",16,5,2,"CA 2144",46.9,"","S","Braund","Mr. Owen Harris"
73,0,2,"male",21,0,0,"S.O.C. 14879",73.5,"","S","Braund","Mr. Owen Harris"
74,0,3,"male",26,1,0,"2680",14.4542,"","C","Braund","Mr. Owen Harris"
75,1,3,"male",32,0,0,"1601",56.4958,"","S","Braund","Mr. Owen Harris"
76,0,3,"male",25,0,0,"348123",7.65,"F G73","S","Braund","Mr. Owen Harris"
77,0,3,"male",NA,0,0,"349208",7.8958,"","S","Braund","Mr. Owen Harris"
78,0,3,"male",NA,0,0,"374746",8.05,"","S","Braund","Mr. Owen Harris"
79,1,2,"male",0.83,0,2,"248738",29,"","S","Braund","Mr. Owen Harris"
80,1,3,"female",30,0,0,"364516",12.475,"","S","Braund","Mr. Owen Harris"
81,0,3,"male",22,0,0,"345767",9,"","S","Braund","Mr. Owen Harris"
82,1,3,"male",29,0,0,"345779",9.5,"","S","Braund","Mr. Owen Harris"
83,1,3,"female",NA,0,0,"330932",7.7875,"","Q","Braund","Mr. Owen Harris"
84,0,1,"male",28,0,0,"113059",47.1,"","S","Braund","Mr. Owen Harris"
85,1,2,"female",17,0,0,"SO/C 14885",10.5,"","S","Braund","Mr. Owen Harris"
86,1,3,"female",33,3,0,"3101278",15.85,"","S","Braund","Mr. Owen Harris"
87,0,3,"male",16,1,3,"W./C. 6608",34.375,"","S","Braund","Mr. Owen Harris"
88,0,3,"male",NA,0,0,"SOTON/OQ 392086",8.05,"","S","Braund","Mr. Owen Harris"
89,1,1,"female",23,3,2,"19950",263,"C23 C25 C27","S","Braund","Mr. Owen Harris"
90,0,3,"male",24,0,0,"343275",8.05,"","S","Braund","Mr. Owen Harris"
91,0,3,"male",29,0,0,"343276",8.05,"","S","Braund","Mr. Owen Harris"
92,0,3,"male",20,0,0,"347466",7.8542,"","S","Braund","Mr. Owen Harris"
93,0,1,"male",46,1,0,"W.E.P. 5734",61.175,"E31","S","Braund","Mr. Owen Harris"
94,0,3,"male",26,1,2,"C.A. 2315",20.575,"","S","Braund","Mr. Owen Harris"
95,0,3,"male",59,0,0,"364500",7.25,"","S","Braund","Mr. Owen Harris"
96,0,3,"male",NA,0,0,"374910",8.05,"","S","Braund","Mr. Owen Harris"
97,0,1,"male",71,0,0,"PC 17754",34.6542,"A5","C","Braund","Mr. Owen Harris"
98,1,1,"male",23,0,1,"PC 17759",63.3583,"D10 D12","C","Braund","Mr. Owen Harris"
99,1,2,"female",34,0,1,"231919",23,"","S","Braund","Mr. Owen Harris"
100,0,2,"male",34,1,0,"244367",26,"","S","Braund","Mr. Owen Harris"
101,0,3,"female",28,0,0,"349245",7.8958,"","S","Braund","Mr. Owen Harris"
102,0,3,"male",NA,0,0,"349215",7.8958,"","S","Braund","Mr. Owen Harris"
103,0,1,"male",21,0,1,"35281",77.2875,"D26","S","Braund","Mr. Owen Harris"
104,0,3,"male",33,0,0,"7540",8.6542,"","S","Braund","Mr. Owen Harris"
105,0,3,"male",37,2,0,"3101276",7.925,"","S","Braund","Mr. Owen Harris"
106,0,3,"male",28,0,0,"349207",7.8958,"","S","Braund","Mr. Owen Harris"
107,1,3,"female",21,0,0,"343120",7.65,"","S","Braund","Mr. Owen Harris"
108,1,3,"male",NA,0,0,"312991",7.775,"","S","Braund","Mr. Owen Harris"
109,0,3,"male",38,0,0,"349249",7.8958,"","S","Braund","Mr. Owen Harris"
110,1,3,"female",NA,1,0,"371110",24.15,"","Q","Braund","Mr. Owen Harris"
111,0,1,"male",47,0,0,"110465",52,"C110","S","Braund","Mr. Owen Harris"
112,0,3,"female",14.5,1,0,"2665",14.4542,"","C","Braund","Mr. Owen Harris"
113,0,3,"male",22,0,0,"324669",8.05,"","S","Braund","Mr. Owen Harris"
114,0,3,"female",20,1,0,"4136",9.825,"","S","Braund","Mr. Owen Harris"
115,0,3,"female",17,0,0,"2627",14.4583,"","C","Braund","Mr. Owen Harris"
116,0,3,"male",21,0,0,"STON/O 2. 3101294",7.925,"","S","Braund","Mr. Owen Harris"
117,0,3,"male",70.5,0,0,"370369",7.75,"","Q","Braund","Mr. Owen Harris"
118,0,2,"male",29,1,0,"11668",21,"","S","Braund","Mr. Owen Harris"
119,0,1,"male",24,0,1,"PC 17558",247.5208,"B58 B60","C","Braund","Mr. Owen Harris"
120,0,3,"female",2,4,2,"347082",31.275,"","S","Braund","Mr. Owen Harris"
121,0,2,"male",21,2,0,"S.O.C. 14879",73.5,"","S","Braund","Mr. Owen Harris"
122,0,3,"male",NA,0,0,"A4. 54510",8.05,"","S","Braund","Mr. Owen Harris"
123,0,2,"male",32.5,1,0,"237736",30.0708,"","C","Braund","Mr. Owen Harris"
124,1,2,"female",32.5,0,0,"27267",13,"E101","S","Braund","Mr. Owen Harris"
125,0,1,"male",54,0,1,"35281",77.2875,"D26","S","Braund","Mr. Owen Harris"
126,1,3,"male",12,1,0,"2651",11.2417,"","C","Braund","Mr. Owen Harris"
127,0,3,"male",NA,0,0,"370372",7.75,"","Q","Braund","Mr. Owen Harris"
128,1,3,"male",24,0,0,"C 17369",7.1417,"","S","Braund","Mr. Owen Harris"
129,1,3,"female",NA,1,1,"2668",22.3583,"F E69","C","Braund","Mr. Owen Harris"
130,0,3,"male",45,0,0,"347061",6.975,"","S","Braund","Mr. Owen Harris"
131,0,3,"male",33,0,0,"349241",7.8958,"","C","Braund","Mr. Owen Harris"
132,0,3,"male",20,0,0,"SOTON/O.Q. 3101307",7.05,"","S","Braund","Mr. Owen Harris"
133,0,3,"female",47,1,0,"A/5. 3337",14.5,"","S","Braund","Mr. Owen Harris"
134,1,2,"female",29,1,0,"228414",26,"","S","Braund","Mr. Owen Harris"
135,0,2,"male",25,0,0,"C.A. 29178",13,"","S","Braund","Mr. Owen Harris"
136,0,2,"male",23,0,0,"SC/PARIS 2133",15.0458,"","C","Braund","Mr. Owen Harris"
137,1,1,"female",19,0,2,"11752",26.2833,"D47","S","Braund","Mr. Owen Harris"
138,0,1,"male",37,1,0,"113803",53.1,"C123","S","Braund","Mr. Owen Harris"
139,0,3,"male",16,0,0,"7534",9.2167,"","S","Braund","Mr. Owen Harris"
140,0,1,"male",24,0,0,"PC 17593",79.2,"B86","C","Braund","Mr. Owen Harris"
141,0,3,"female",NA,0,2,"2678",15.2458,"","C","Braund","Mr. Owen Harris"
142,1,3,"female",22,0,0,"347081",7.75,"","S","Braund","Mr. Owen Harris"
143,1,3,"female",24,1,0,"STON/O2. 3101279",15.85,"","S","Braund","Mr. Owen Harris"
144,0,3,"male",19,0,0,"365222",6.75,"","Q","Braund","Mr. Owen Harris"
145,0,2,"male",18,0,0,"231945",11.5,"","S","Braund","Mr. Owen Harris"
146,0,2,"male",19,1,1,"C.A. 33112",36.75,"","S","Braund","Mr. Owen Harris"
147,1,3,"male",27,0,0,"350043",7.7958,"","S","Braund","Mr. Owen Harris"
148,0,3,"female",9,2,2,"W./C. 6608",34.375,"","S","Braund","Mr. Owen Harris"
149,0,2,"male",36.5,0,2,"230080",26,"F2","S","Braund","Mr. Owen Harris"
150,0,2,"male",42,0,0,"244310",13,"","S","Braund","Mr. Owen Harris"
151,0,2,"male",51,0,0,"S.O.P. 1166",12.525,"","S","Braund","Mr. Owen Harris"
152,1,1,"female",22,1,0,"113776",66.6,"C2","S","Braund","Mr. Owen Harris"
153,0,3,"male",55.5,0,0,"A.5. 11206",8.05,"","S","Braund","Mr. Owen Harris"
154,0,3,"male",40.5,0,2,"A/5. 851",14.5,"","S","Braund","Mr. Owen Harris"
155,0,3,"male",NA,0,0,"Fa 265302",7.3125,"","S","Braund","Mr. Owen Harris"
156,0,1,"male",51,0,1,"PC 17597",61.3792,"","C","Braund","Mr. Owen Harris"
157,1,3,"female",16,0,0,"35851",7.7333,"","Q","Braund","Mr. Owen Harris"
158,0,3,"male",30,0,0,"SOTON/OQ 392090",8.05,"","S","Braund","Mr. Owen Harris"
159,0,3,"male",NA,0,0,"315037",8.6625,"","S","Braund","Mr. Owen Harris"
160,0,3,"male",NA,8,2,"CA. 2343",69.55,"","S","Braund","Mr. Owen Harris"
161,0,3,"male",44,0,1,"371362",16.1,"","S","Braund","Mr. Owen Harris"
162,1,2,"female",40,0,0,"C.A. 33595",15.75,"","S","Braund","Mr. Owen Harris"
163,0,3,"male",26,0,0,"347068",7.775,"","S","Braund","Mr. Owen Harris"
164,0,3,"male",17,0,0,"315093",8.6625,"","S","Braund","Mr. Owen Harris"
165,0,3,"male",1,4,1,"3101295",39.6875,"","S","Braund","Mr. Owen Harris"
166,1,3,"male",9,0,2,"363291",20.525,"","S","Braund","Mr. Owen Harris"
167,1,1,"female",NA,0,1,"113505",55,"E33","S","Braund","Mr. Owen Harris"
168,0,3,"female",45,1,4,"347088",27.9,"","S","Braund","Mr. Owen Harris"
169,0,1,"male",NA,0,0,"PC 17318",25.925,"","S","Braund","Mr. Owen Harris"
170,0,3,"male",28,0,0,"1601",56.4958,"","S","Braund","Mr. Owen Harris"
171,0,1,"male",61,0,0,"111240",33.5,"B19","S","Braund","Mr. Owen Harris"
172,0,3,"male",4,4,1,"382652",29.125,"","Q","Braund","Mr. Owen Harris"
173,1,3,"female",1,1,1,"347742",11.1333,"","S","Braund","Mr. Owen Harris"
174,0,3,"male",21,0,0,"STON/O 2. 3101280",7.925,"","S","Braund","Mr. Owen Harris"
175,0,1,"male",56,0,0,"17764",30.6958,"A7","C","Braund","Mr. Owen Harris"
176,0,3,"male",18,1,1,"350404",7.8542,"","S","Braund","Mr. Owen Harris"
177,0,3,"male",NA,3,1,"4133",25.4667,"","S","Braund","Mr. Owen Harris"
178,0,1,"female",50,0,0,"PC 17595",28.7125,"C49","C","Braund","Mr. Owen Harris"
179,0,2,"male",30,0,0,"250653",13,"","S","Braund","Mr. Owen Harris"
180,0,3,"male",36,0,0,"LINE",0,"","S","Braund","Mr. Owen Harris"
181,0,3,"female",NA,8,2,"CA. 2343",69.55,"","S","Braund","Mr. Owen Harris"
182,0,2,"male",NA,0,0,"SC/PARIS 2131",15.05,"","C","Braund","Mr. Owen Harris"
183,0,3,"male",9,4,2,"347077",31.3875,"","S","Braund","Mr. Owen Harris"
184,1,2,"male",1,2,1,"230136",39,"F4","S","Braund","Mr. Owen Harris"
185,1,3,"female",4,0,2,"315153",22.025,"","S","Braund","Mr. Owen Harris"
186,0,1,"male",NA,0,0,"113767",50,"A32","S","Braund","Mr. Owen Harris"
187,1,3,"female",NA,1,0,"370365",15.5,"","Q","Braund","Mr. Owen Harris"
188,1,1,"male",45,0,0,"111428",26.55,"","S","Braund","Mr. Owen Harris"
189,0,3,"male",40,1,1,"364849",15.5,"","Q","Braund","Mr. Owen Harris"
190,0,3,"male",36,0,0,"349247",7.8958,"","S","Braund","Mr. Owen Harris"
191,1,2,"female",32,0,0,"234604",13,"","S","Braund","Mr. Owen Harris"
192,0,2,"male",19,0,0,"28424",13,"","S","Braund","Mr. Owen Harris"
193,1,3,"female",19,1,0,"350046",7.8542,"","S","Braund","Mr. Owen Harris"
194,1,2,"male",3,1,1,"230080",26,"F2","S","Braund","Mr. Owen Harris"
195,1,1,"female",44,0,0,"PC 17610",27.7208,"B4","C","Braund","Mr. Owen Harris"
196,1,1,"female",58,0,0,"PC 17569",146.5208,"B80","C","Braund","Mr. Owen Harris"
197,0,3,"male",NA,0,0,"368703",7.75,"","Q","Braund","Mr. Owen Harris"
198,0,3,"male",42,0,1,"4579",8.4042,"","S","Braund","Mr. Owen Harris"
199,1,3,"female",NA,0,0,"370370",7.75,"","Q","Braund","Mr. Owen Harris"
200,0,2,"female",24,0,0,"248747",13,"","S","Braund","Mr. Owen Harris"
201,0,3,"male",28,0,0,"345770",9.5,"","S","Braund","Mr. Owen Harris"
202,0,3,"male",NA,8,2,"CA. 2343",69.55,"","S","Braund","Mr. Owen Harris"
203,0,3,"male",34,0,0,"3101264",6.4958,"","S","Braund","Mr. Owen Harris"
204,0,3,"male",45.5,0,0,"2628",7.225,"","C","Braund","Mr. Owen Harris"
205,1,3,"male",18,0,0,"A/5 3540",8.05,"","S","Braund","Mr. Owen Harris"
206,0,3,"female",2,0,1,"347054",10.4625,"G6","S","Braund","Mr. Owen Harris"
207,0,3,"male",32,1,0,"3101278",15.85,"","S","Braund","Mr. Owen Harris"
208,1,3,"male",26,0,0,"2699",18.7875,"","C","Braund","Mr. Owen Harris"
209,1,3,"female",16,0,0,"367231",7.75,"","Q","Braund","Mr. Owen Harris"
210,1,1,"male",40,0,0,"112277",31,"A31","C","Braund","Mr. Owen Harris"
211,0,3,"male",24,0,0,"SOTON/O.Q. 3101311",7.05,"","S","Braund","Mr. Owen Harris"
212,1,2,"female",35,0,0,"F.C.C. 13528",21,"","S","Braund","Mr. Owen Harris"
213,0,3,"male",22,0,0,"A/5 21174",7.25,"","S","Braund","Mr. Owen Harris"
214,0,2,"male",30,0,0,"250646",13,"","S","Braund","Mr. Owen Harris"
215,0,3,"male",NA,1,0,"367229",7.75,"","Q","Braund","Mr. Owen Harris"
216,1,1,"female",31,1,0,"35273",113.275,"D36","C","Braund","Mr. Owen Harris"
217,1,3,"female",27,0,0,"STON/O2. 3101283",7.925,"","S","Braund","Mr. Owen Harris"
218,0,2,"male",42,1,0,"243847",27,"","S","Braund","Mr. Owen Harris"
219,1,1,"female",32,0,0,"11813",76.2917,"D15","C","Braund","Mr. Owen Harris"
220,0,2,"male",30,0,0,"W/C 14208",10.5,"","S","Braund","Mr. Owen Harris"
221,1,3,"male",16,0,0,"SOTON/OQ 392089",8.05,"","S","Braund","Mr. Owen Harris"
222,0,2,"male",27,0,0,"220367",13,"","S","Braund","Mr. Owen Harris"
223,0,3,"male",51,0,0,"21440",8.05,"","S","Braund","Mr. Owen Harris"
224,0,3,"male",NA,0,0,"349234",7.8958,"","S","Braund","Mr. Owen Harris"
225,1,1,"male",38,1,0,"19943",90,"C93","S","Braund","Mr. Owen Harris"
226,0,3,"male",22,0,0,"PP 4348",9.35,"","S","Braund","Mr. Owen Harris"
227,1,2,"male",19,0,0,"SW/PP 751",10.5,"","S","Braund","Mr. Owen Harris"
228,0,3,"male",20.5,0,0,"A/5 21173",7.25,"","S","Braund","Mr. Owen Harris"
229,0,2,"male",18,0,0,"236171",13,"","S","Braund","Mr. Owen Harris"
230,0,3,"female",NA,3,1,"4133",25.4667,"","S","Braund","Mr. Owen Harris"
231,1,1,"female",35,1,0,"36973",83.475,"C83","S","Braund","Mr. Owen Harris"
232,0,3,"male",29,0,0,"347067",7.775,"","S","Braund","Mr. Owen Harris"
233,0,2,"male",59,0,0,"237442",13.5,"","S","Braund","Mr. Owen Harris"
234,1,3,"female",5,4,2,"347077",31.3875,"","S","Braund","Mr. Owen Harris"
235,0,2,"male",24,0,0,"C.A. 29566",10.5,"","S","Braund","Mr. Owen Harris"
236,0,3,"female",NA,0,0,"W./C. 6609",7.55,"","S","Braund","Mr. Owen Harris"
237,0,2,"male",44,1,0,"26707",26,"","S","Braund","Mr. Owen Harris"
238,1,2,"female",8,0,2,"C.A. 31921",26.25,"","S","Braund","Mr. Owen Harris"
239,0,2,"male",19,0,0,"28665",10.5,"","S","Braund","Mr. Owen Harris"
240,0,2,"male",33,0,0,"SCO/W 1585",12.275,"","S","Braund","Mr. Owen Harris"
241,0,3,"female",NA,1,0,"2665",14.4542,"","C","Braund","Mr. Owen Harris"
242,1,3,"female",NA,1,0,"367230",15.5,"","Q","Braund","Mr. Owen Harris"
243,0,2,"male",29,0,0,"W./C. 14263",10.5,"","S","Braund","Mr. Owen Harris"
244,0,3,"male",22,0,0,"STON/O 2. 3101275",7.125,"","S","Braund","Mr. Owen Harris"
245,0,3,"male",30,0,0,"2694",7.225,"","C","Braund","Mr. Owen Harris"
246,0,1,"male",44,2,0,"19928",90,"C78","Q","Braund","Mr. Owen Harris"
247,0,3,"female",25,0,0,"347071",7.775,"","S","Braund","Mr. Owen Harris"
248,1,2,"female",24,0,2,"250649",14.5,"","S","Braund","Mr. Owen Harris"
249,1,1,"male",37,1,1,"11751",52.5542,"D35","S","Braund","Mr. Owen Harris"
250,0,2,"male",54,1,0,"244252",26,"","S","Braund","Mr. Owen Harris"
251,0,3,"male",NA,0,0,"362316",7.25,"","S","Braund","Mr. Owen Harris"
252,0,3,"female",29,1,1,"347054",10.4625,"G6","S","Braund","Mr. Owen Harris"
253,0,1,"male",62,0,0,"113514",26.55,"C87","S","Braund","Mr. Owen Harris"
254,0,3,"male",30,1,0,"A/5. 3336",16.1,"","S","Braund","Mr. Owen Harris"
255,0,3,"female",41,0,2,"370129",20.2125,"","S","Braund","Mr. Owen Harris"
256,1,3,"female",29,0,2,"2650",15.2458,"","C","Braund","Mr. Owen Harris"
257,1,1,"female",NA,0,0,"PC 17585",79.2,"","C","Braund","Mr. Owen Harris"
258,1,1,"female",30,0,0,"110152",86.5,"B77","S","Braund","Mr. Owen Harris"
259,1,1,"female",35,0,0,"PC 17755",512.3292,"","C","Braund","Mr. Owen Harris"
260,1,2,"female",50,0,1,"230433",26,"","S","Braund","Mr. Owen Harris"
261,0,3,"male",NA,0,0,"384461",7.75,"","Q","Braund","Mr. Owen Harris"
262,1,3,"male",3,4,2,"347077",31.3875,"","S","Braund","Mr. Owen Harris"
263,0,1,"male",52,1,1,"110413",79.65,"E67","S","Braund","Mr. Owen Harris"
264,0,1,"male",40,0,0,"112059",0,"B94","S","Braund","Mr. Owen Harris"
265,0,3,"female",NA,0,0,"382649",7.75,"","Q","Braund","Mr. Owen Harris"
266,0,2,"male",36,0,0,"C.A. 17248",10.5,"","S","Braund","Mr. Owen Harris"
267,0,3,"male",16,4,1,"3101295",39.6875,"","S","Braund","Mr. Owen Harris"
268,1,3,"male",25,1,0,"347083",7.775,"","S","Braund","Mr. Owen Harris"
269,1,1,"female",58,0,1,"PC 17582",153.4625,"C125","S","Braund","Mr. Owen Harris"
270,1,1,"female",35,0,0,"PC 17760",135.6333,"C99","S","Braund","Mr. Owen Harris"
271,0,1,"male",NA,0,0,"113798",31,"","S","Braund","Mr. Owen Harris"
272,1,3,"male",25,0,0,"LINE",0,"","S","Braund","Mr. Owen Harris"
273,1,2,"female",41,0,1,"250644",19.5,"","S","Braund","Mr. Owen Harris"
274,0,1,"male",37,0,1,"PC 17596",29.7,"C118","C","Braund","Mr. Owen Harris"
275,1,3,"female",NA,0,0,"370375",7.75,"","Q","Braund","Mr. Owen Harris"
276,1,1,"female",63,1,0,"13502",77.9583,"D7","S","Braund","Mr. Owen Harris"
277,0,3,"female",45,0,0,"347073",7.75,"","S","Braund","Mr. Owen Harris"
278,0,2,"male",NA,0,0,"239853",0,"","S","Braund","Mr. Owen Harris"
279,0,3,"male",7,4,1,"382652",29.125,"","Q","Braund","Mr. Owen Harris"
280,1,3,"female",35,1,1,"C.A. 2673",20.25,"","S","Braund","Mr. Owen Harris"
281,0,3,"male",65,0,0,"336439",7.75,"","Q","Braund","Mr. Owen Harris"
282,0,3,"male",28,0,0,"347464",7.8542,"","S","Braund","Mr. Owen Harris"
283,0,3,"male",16,0,0,"345778",9.5,"","S","Braund","Mr. Owen Harris"
284,1,3,"male",19,0,0,"A/5. 10482",8.05,"","S","Braund","Mr. Owen Harris"
285,0,1,"male",NA,0,0,"113056",26,"A19","S","Braund","Mr. Owen Harris"
286,0,3,"male",33,0,0,"349239",8.6625,"","C","Braund","Mr. Owen Harris"
287,1,3,"male",30,0,0,"345774",9.5,"","S","Braund","Mr. Owen Harris"
288,0,3,"male",22,0,0,"349206",7.8958,"","S","Braund","Mr. Owen Harris"
289,1,2,"male",42,0,0,"237798",13,"","S","Braund","Mr. Owen Harris"
290,1,3,"female",22,0,0,"370373",7.75,"","Q","Braund","Mr. Owen Harris"
291,1,1,"female",26,0,0,"19877",78.85,"","S","Braund","Mr. Owen Harris"
292,1,1,"female",19,1,0,"11967",91.0792,"B49","C","Braund","Mr. Owen Harris"
293,0,2,"male",36,0,0,"SC/Paris 2163",12.875,"D","C","Braund","Mr. Owen Harris"
294,0,3,"female",24,0,0,"349236",8.85,"","S","Braund","Mr. Owen Harris"
295,0,3,"male",24,0,0,"349233",7.8958,"","S","Braund","Mr. Owen Harris"
296,0,1,"male",NA,0,0,"PC 17612",27.7208,"","C","Braund","Mr. Owen Harris"
297,0,3,"male",23.5,0,0,"2693",7.2292,"","C","Braund","Mr. Owen Harris"
298,0,1,"female",2,1,2,"113781",151.55,"C22 C26","S","Braund","Mr. Owen Harris"
299,1,1,"male",NA,0,0,"19988",30.5,"C106","S","Braund","Mr. Owen Harris"
300,1,1,"female",50,0,1,"PC 17558",247.5208,"B58 B60","C","Braund","Mr. Owen Harris"
301,1,3,"female",NA,0,0,"9234",7.75,"","Q","Braund","Mr. Owen Harris"
302,1,3,"male",NA,2,0,"367226",23.25,"","Q","Braund","Mr. Owen Harris"
303,0,3,"male",19,0,0,"LINE",0,"","S","Braund","Mr. Owen Harris"
304,1,2,"female",NA,0,0,"226593",12.35,"E101","Q","Braund","Mr. Owen Harris"
305,0,3,"male",NA,0,0,"A/5 2466",8.05,"","S","Braund","Mr. Owen Harris"
